City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bambous Virieux,-20.3428,57.7575,76.21,57,40,9.22,MU,1629958981
La Santisima Trinidad,-14.8333,-64.9,80.83,34,51,3.4,BO,1629958982
Qaanaaq,77.484,-69.3632,37.04,94,100,8.05,GL,1629958982
Haverfordwest,51.8017,-4.9691,60.55,89,3,4.25,GB,1629958982
Port Alfred,-33.5906,26.891,73.96,35,48,9.8,ZA,1629958800
Rikitea,-23.1203,-134.9692,72.16,60,32,14.56,PF,1629958983
Aripuanã,-9.1667,-60.6333,76.19,59,91,1.3,BR,1629958983
Maturin,9.75,-63.1767,72.91,98,45,3.69,VE,1629958983
Hermanus,-34.4187,19.2345,56.89,81,33,19.33,ZA,1629958984
Awjilah,29.1081,21.2869,80.02,42,0,7.2,LY,1629958984
Arlit,18.7369,7.3853,83.91,52,40,16.71,NE,1629958984
Faya,18.3851,42.4509,78.91,29,2,13.82,SA,1629958985
Manavālakurichi,8.1333,77.3,84.29,65,59,14.43,IN,1629958985
Punta Arenas,-53.15,-70.9167,28.51,93,40,4.61,CL,1629958957
Iqaluit,63.7506,-68.5145,42.53,81,75,9.22,CA,1629958985
Kununurra,-15.7667,128.7333,94.01,11,9,8.23,AU,1629958986
Vardø,70.3705,31.1107,49.98,76,0,5.75,NO,1629958986
Muroto-misakicho,33.2833,134.15,82.44,84,100,10.36,JP,1629958987
Avarua,-21.2078,-159.775,68.05,88,90,2.3,CK,1629958987
Parkes,-33.1333,148.1833,53.89,61,70,4.99,AU,1629958987
Mossamedes,-15.1961,12.1522,63.7,66,0,10.33,AO,1629958988
Vanimo,-2.6741,141.3028,80.85,78,100,5.19,PG,1629958988
Bubaque,11.2833,-15.8333,79.38,81,100,6.02,GW,1629958988
Hofn,64.2539,-15.2082,54.1,97,62,15.5,IS,1629958988
Saint-Philippe,-21.3585,55.7679,76.55,69,21,8.72,RE,1629958989
Khatanga,71.9667,102.5,40.82,64,100,9.89,RU,1629958989
Ketchikan,55.3422,-131.6461,55.87,94,90,5.75,US,1629958990
Hithadhoo,-0.6,73.0833,82.74,70,7,10.38,MV,1629958990
Dikson,73.5069,80.5464,37.4,78,98,15.97,RU,1629958990
Atar,20.5169,-13.0499,91.47,21,63,11.65,MR,1629958991
Laas,46.6166,10.7002,59.02,71,17,4.38,IT,1629958991
Upernavik,72.7868,-56.1549,41.05,90,100,17.27,GL,1629958991
Prince Rupert,54.3161,-130.3201,56.89,94,90,5.75,CA,1629958991
Savannah Bight,16.45,-85.85,82.0,78,39,7.31,HN,1629958992
Barrow,71.2906,-156.7887,42.82,81,90,8.05,US,1629958992
Bluff,-46.6,168.3333,45.81,89,100,4.52,NZ,1629958992
Busselton,-33.65,115.3333,57.07,61,74,22.46,AU,1629958993
Sioux Lookout,50.1001,-91.917,53.98,76,20,8.05,CA,1629958993
Fairbanks,64.8378,-147.7164,56.1,93,75,0.0,US,1629958817
Hurghada,27.2574,33.8129,88.34,41,0,24.7,EG,1629958993
Ushuaia,-54.8,-68.3,31.66,69,0,3.44,AR,1629958994
Mitú,1.1983,-70.1733,73.74,86,78,1.59,CO,1629958803
Görele,41.0308,39.0031,78.24,64,36,4.43,TR,1629958994
Souillac,-20.5167,57.5167,76.35,57,40,9.22,MU,1629958994
Moa,20.6569,-74.9403,79.34,86,100,9.73,CU,1629958995
East London,-33.0153,27.9116,72.54,28,0,5.75,ZA,1629958995
Port Blair,11.6667,92.75,77.04,94,90,4.61,IN,1629958995
Dalvik,65.9702,-18.5286,58.93,84,100,10.09,IS,1629958996
High Rock,26.6208,-78.2833,75.22,77,96,17.74,BS,1629958996
Villavicencio,4.142,-73.6266,69.87,90,98,4.79,CO,1629958808
Port Elizabeth,-33.918,25.5701,62.89,82,0,19.57,ZA,1629958996
Nikolskoye,59.7035,30.7861,55.02,71,100,8.66,RU,1629958997
Serik,36.9169,31.0989,89.85,29,0,2.13,TR,1629958997
Vaini,-21.2,-175.2,66.36,72,20,10.36,TO,1629958997
Pāsighāt,28.0667,95.3333,76.75,100,100,4.54,IN,1629958998
Atuona,-9.8,-139.0333,77.32,79,39,16.37,PF,1629958998
Ous,60.9058,61.5186,61.9,68,99,8.81,RU,1629958998
Yellowknife,62.456,-114.3525,55.92,76,20,6.91,CA,1629958999
Bathsheba,13.2167,-59.5167,79.41,78,40,10.36,BB,1629958999
Albany,42.6001,-73.9662,72.91,93,67,2.28,US,1629958933
Rivadavia,-33.1905,-68.4608,45.07,28,0,4.36,AR,1629958999
Leningradskiy,69.3833,178.4167,32.5,87,100,25.48,RU,1629959000
Impfondo,1.6381,18.0667,74.25,85,66,2.46,CG,1629959000
Krasnosel'kup,65.7,82.4667,59.52,49,92,13.76,RU,1629959000
Bredasdorp,-34.5322,20.0403,54.72,71,37,6.91,ZA,1629959001
Tuktoyaktuk,69.4541,-133.0374,47.68,92,100,12.06,CA,1629959001
Saint-Pierre,-21.3393,55.4781,76.64,62,0,17.27,RE,1629959001
Chui,-33.6971,-53.4616,49.23,86,98,8.88,UY,1629959001
Kharp,66.8014,65.8081,44.98,82,100,12.08,RU,1629959002
Nahrin,36.0649,69.1334,82.02,18,0,7.63,AF,1629959002
Quatre Cocos,-20.2078,57.7625,76.08,62,1,11.68,MU,1629959002
Butaritari,3.0707,172.7902,83.52,72,89,13.98,KI,1629959003
Hobart,-42.8794,147.3294,49.86,86,75,3.0,AU,1629958712
Roebourne,-20.7833,117.1333,87.08,24,16,10.85,AU,1629959003
Ucluelet,48.9329,-125.5528,62.1,86,100,7.25,CA,1629959003
Kruisfontein,-34.0033,24.7314,59.88,76,39,6.89,ZA,1629959004
Longyearbyen,78.2186,15.6401,46.24,71,75,4.61,SJ,1629959004
Margate,51.3813,1.3862,60.51,72,100,11.01,GB,1629959004
Antofagasta,-23.65,-70.4,54.68,68,1,9.53,CL,1629958943
Sinnamary,5.3833,-52.95,77.47,86,34,3.94,GF,1629959005
Coyhaique,-45.5752,-72.0662,31.95,80,0,6.91,CL,1629959005
Arona,28.0996,-16.681,64.81,81,20,3.44,ES,1629959005
Arraial do Cabo,-22.9661,-42.0278,70.88,83,1,26.44,BR,1629959006
Norman Wells,65.282,-126.8329,53.64,100,75,2.3,CA,1629959006
Hilo,19.7297,-155.09,74.28,85,90,8.05,US,1629959006
Avera,33.194,-82.5271,77.72,86,59,3.49,US,1629959007
Kudahuvadhoo,2.6708,72.8944,83.25,72,41,16.04,MV,1629959007
Lianzhou,24.7811,112.3825,90.05,64,81,5.3,CN,1629959007
Dubti,11.7361,41.0853,76.73,77,99,15.82,ET,1629959007
Churapcha,62.0025,132.4325,70.16,38,86,8.84,RU,1629959008
Nome,64.5011,-165.4064,44.67,82,90,23.02,US,1629958833
Mataura,-46.1927,168.8643,45.48,99,100,3.0,NZ,1629959008
Thompson,55.7435,-97.8558,42.96,87,1,2.3,CA,1629959009
Yakeshi,49.2833,120.7333,62.65,85,99,4.76,CN,1629959009
Bethel,41.3712,-73.414,74.91,90,1,3.44,US,1629959010
Buraidah,26.326,43.975,99.05,11,1,4.65,SA,1629959010
Torbay,47.6666,-52.7314,57.27,92,40,4.61,CA,1629959010
Mar del Plata,-38.0023,-57.5575,46.9,61,52,13.71,AR,1629959011
Macamic,48.7502,-78.9996,70.03,82,21,8.05,CA,1629959011
Vao,-22.6667,167.4833,70.68,80,78,20.24,NC,1629959011
Dukat,62.55,155.55,49.41,94,100,3.4,RU,1629959012
Petatlán,17.5167,-101.2667,74.77,95,100,3.62,MX,1629959012
Lębork,54.5392,17.7501,59.92,85,56,8.66,PL,1629959012
Kumul,42.8,93.45,86.97,12,79,9.57,CN,1629959013
Esperance,-33.8667,121.9,61.38,73,13,15.39,AU,1629959013
Lodja,-3.4833,23.4333,77.36,66,1,1.68,CD,1629959013
Panama City,8.9936,-79.5197,80.17,85,100,2.01,PA,1629959013
Lebu,-37.6167,-73.65,48.92,87,70,13.89,CL,1629959014
Varėna,54.2167,24.5667,52.48,87,100,8.9,LT,1629959014
Acapulco de Juárez,16.8634,-99.8901,76.48,89,100,3.22,MX,1629959014
Airai,-8.9266,125.4092,67.64,66,84,4.68,TL,1629959015
Takoradze,4.8845,-1.7554,75.45,89,66,3.87,GH,1629959015
Castro,-24.7911,-50.0119,62.33,63,100,6.67,BR,1629959015
Gamba,-2.65,10.0,74.55,89,100,7.43,GA,1629959016
Lysyye Gory,51.5506,44.8414,71.35,35,14,8.37,RU,1629958819
Lavrentiya,65.5833,-171.0,41.85,97,100,6.02,RU,1629959016
Muborak,39.2553,65.1528,95.14,10,0,6.42,UZ,1629959016
Opelousas,30.5335,-92.0815,78.87,83,1,0.0,US,1629959017
Puerto Ayora,-0.7393,-90.3518,66.54,95,94,8.99,EC,1629959017
Aklavik,68.2191,-135.0107,52.52,91,96,9.06,CA,1629959017
Constitución,-35.3333,-72.4167,46.44,88,70,5.75,CL,1629959018
Tura,25.5198,90.2201,78.57,94,100,4.63,IN,1629959018
Languyan,5.2618,120.0807,81.1,80,100,2.1,PH,1629959019
Laurel,39.0993,-76.8483,77.52,89,1,0.0,US,1629958849
Shirokiy,49.758,129.523,70.57,82,100,10.09,RU,1629959019
Sola,-13.8833,167.55,79.47,69,75,5.75,VU,1629959019
Carnarvon,-24.8667,113.6333,71.67,62,46,17.27,AU,1629958721
Salalah,17.0151,54.0924,80.69,83,75,12.66,OM,1629959020
Acaraú,-2.8856,-40.12,78.78,80,82,19.37,BR,1629959020
Tasiilaq,65.6145,-37.6368,46.56,97,96,3.44,GL,1629959020
Boende,-0.2167,20.8667,77.31,69,0,2.39,CD,1629959021
Lieksa,63.3167,30.0167,50.09,81,100,14.29,FI,1629959021
Hambantota,6.1241,81.1185,86.52,64,59,18.57,LK,1629959022
Loreto,22.2667,-101.9667,59.38,77,47,17.31,MX,1629959022
Hamilton,39.1834,-84.5333,75.42,95,20,0.0,US,1629959022
Portland,45.5234,-122.6762,66.56,66,90,1.99,US,1629958728
Vanavara,60.34,102.2797,70.02,36,17,9.37,RU,1629959023
Karratha,-20.7377,116.8463,83.68,35,22,13.69,AU,1629959023
Hay River,60.8156,-115.7999,64.38,55,40,9.22,CA,1629959023
Dunedin,-45.8742,170.5036,46.8,85,100,4.0,NZ,1629959024
Nioki,-2.7167,17.6833,78.26,65,4,2.28,CD,1629959024
Bījār,35.8668,47.6051,78.24,16,0,6.6,IR,1629959025
Namatanai,-3.6667,152.4333,84.33,67,27,10.27,PG,1629959025
Kavieng,-2.5744,150.7967,85.12,66,98,11.3,PG,1629959025
Yerbogachën,61.2767,108.0108,67.51,34,13,12.68,RU,1629959026
Mercedes,-34.6515,-59.4307,47.17,65,2,8.08,AR,1629959026
Caravelas,-17.7125,-39.2481,70.36,91,67,7.29,BR,1629959026
Narsaq,60.9167,-46.05,46.62,70,100,0.89,GL,1629959027
Strezhevoy,60.7333,77.5889,80.58,43,2,7.36,RU,1629959027
Abhā,18.2164,42.5053,78.62,27,0,8.05,SA,1629959028
Qasigiannguit,68.8193,-51.1922,39.0,96,100,7.31,GL,1629959028
Meulaboh,4.1363,96.1285,84.18,66,77,5.35,ID,1629959028
Ancud,-41.8697,-73.8203,38.73,71,100,25.95,CL,1629959029
Oranjemund,-28.55,16.4333,52.81,85,2,8.75,NA,1629959029
Kapaa,22.0752,-159.319,80.92,71,75,4.0,US,1629958878
Dillon,34.4166,-79.3712,77.49,88,79,5.06,US,1629959029
Ft. Pierce,27.4467,-80.3256,81.01,89,75,11.01,US,1629959030
Barashevo,54.5325,42.8792,56.1,88,100,5.32,RU,1629959030
Waddān,29.1614,16.139,77.18,48,0,6.64,LY,1629959031
Faanui,-16.4833,-151.75,78.31,68,22,12.08,PF,1629959031
Hailar,49.2,119.7,60.04,93,100,10.69,CN,1629959031
Shetpe,44.1667,52.1167,80.73,36,0,9.1,KZ,1629959031
Nizhniy Kuranakh,58.8353,125.4869,65.79,60,36,6.02,RU,1629959032
San Vicente,-26.6167,-54.1333,54.37,98,100,4.12,AR,1629959032
Husavik,66.0449,-17.3389,58.91,78,81,10.02,IS,1629959032
Codrington,-38.2667,141.9667,49.64,83,100,6.71,AU,1629959033
New Norfolk,-42.7826,147.0587,49.5,80,100,1.01,AU,1629959033
Arrondissement de Lannion,48.75,-3.4167,61.68,94,90,5.75,FR,1629959034
Chokurdakh,70.6333,147.9167,53.82,59,76,10.8,RU,1629959034
Wahiawā,21.5028,-158.0236,77.32,74,40,5.75,US,1629959034
Oktyabr'skiy,54.4815,53.471,70.32,45,18,14.25,RU,1629959034
Waipawa,-41.4122,175.5153,54.45,72,71,16.2,NZ,1629959035
Vila Franca do Campo,37.7167,-25.4333,66.61,75,4,5.21,PT,1629959035
Mapiripán,2.8892,-72.1256,71.26,95,92,3.22,CO,1629959035
Al Bardīyah,31.7561,25.0865,78.91,63,0,6.38,LY,1629959036
Sakakah,29.9697,40.2064,99.97,9,0,3.09,SA,1629959036
Ostrovnoy,68.0531,39.5131,47.1,59,84,7.52,RU,1629959036
Saldanha,-33.0117,17.9442,57.25,89,81,20.04,ZA,1629959037
Ōfunato,39.0717,141.7167,81.55,70,53,7.18,JP,1629959037
Saint Paul Harbor,57.79,-152.4072,52.27,89,100,2.55,US,1629959037
San-Pédro,4.7485,-6.6363,74.57,93,100,3.83,CI,1629959038
Xiuyan,40.2928,123.2744,79.75,63,24,11.52,CN,1629959038
Tabou,4.423,-7.3528,74.77,91,99,6.02,CI,1629959038
Kutum,14.2,24.6667,73.69,67,100,7.11,SD,1629959039
Dianalund,55.5313,11.4925,57.29,71,51,14.2,DK,1629959039
São Filipe,14.8961,-24.4956,77.81,87,100,5.37,CV,1629959039
Ponta do Sol,32.6667,-17.1,72.72,75,19,2.48,PT,1629959040
Belyy Yar,53.6039,91.3903,73.29,46,0,13.42,RU,1629959040
Otofuke,42.9917,143.2003,74.35,80,88,4.97,JP,1629959040
Saskylakh,71.9167,114.0833,37.89,96,100,21.43,RU,1629959041
Karabük,41.2049,32.6277,70.12,58,3,1.97,TR,1629959041
Ixtapa,20.7,-105.2,83.23,89,97,1.54,MX,1629958196
Dilla,6.41,38.31,66.97,61,93,2.68,ET,1629959042
Renqiu,38.6989,116.0936,82.71,45,52,5.68,CN,1629959042
Pevek,69.7008,170.3133,33.85,87,100,14.14,RU,1629959042
Christchurch,-43.5333,172.6333,59.2,47,91,4.61,NZ,1629959043
George Town,5.4112,100.3354,89.53,66,20,6.91,MY,1629958932
Ponta Delgada,37.7333,-25.6667,66.92,77,20,8.05,PT,1629959043
Anadyr,64.75,177.4833,52.3,58,0,20.13,RU,1629959043
Māngrol,21.1167,70.1167,82.87,74,100,16.67,IN,1629959044
Szczytno,53.5626,20.9875,57.13,100,90,9.22,PL,1629959044
Cape Town,-33.9258,18.4232,59.41,77,40,5.01,ZA,1629958850
Hong Kong,22.2855,114.1577,91.45,71,86,10.18,HK,1629958945
Ribeira Grande,38.5167,-28.7,66.6,77,75,0.0,PT,1629959044
Bambanglipuro,-7.95,110.2833,82.4,56,69,14.12,ID,1629959045
Provideniya,64.3833,-173.3,44.71,81,90,2.24,RU,1629959045
Yagoua,10.3411,15.2329,73.89,87,99,3.33,CM,1629959045
Lisala,2.15,21.5167,76.06,75,26,2.08,CD,1629959046
Júlio de Castilhos,-29.2269,-53.6817,52.02,97,100,12.03,BR,1629959046
Jamestown,42.097,-79.2353,72.99,87,75,3.0,US,1629959046
Clyde River,70.4692,-68.5914,39.97,81,98,3.98,CA,1629959047
Marawi,7.9986,124.2928,73.65,77,100,4.41,PH,1629959047
Bam,29.106,58.357,89.4,10,0,24.0,IR,1629959047
Gold Coast,-28.0,153.4333,72.37,51,0,1.01,AU,1629958852
Hohhot,40.8106,111.6522,70.09,46,40,15.66,CN,1629959048
Rayachoti,14.05,78.75,91.26,44,100,7.76,IN,1629959048
Wanning,18.8003,110.3967,88.48,62,49,9.24,CN,1629959048
Srednekolymsk,67.45,153.6833,62.29,41,17,4.63,RU,1629959049
Nouadhibou,20.931,-17.0347,71.15,86,69,17.63,MR,1629959049
Bontang,0.1333,117.5,83.86,73,40,4.16,ID,1629959049
Nova Olímpia,-14.7972,-57.2881,78.31,36,44,3.4,BR,1629959050
Sørland,67.667,12.6934,53.46,71,20,5.75,NO,1629959050
Gilbués,-9.8317,-45.3439,72.99,39,74,3.6,BR,1629959050
Río Gallegos,-51.6226,-69.2181,33.85,86,90,3.44,AR,1629958894
Mount Gambier,-37.8333,140.7667,51.78,64,100,7.76,AU,1629959051
Kitgum,3.2783,32.8867,75.15,65,45,3.2,UG,1629959051
Dawson Creek,55.7666,-120.2362,55.36,87,1,4.61,CA,1629958856
Riyadh,24.6877,46.7219,104.05,11,1,3.44,SA,1629958910
Klaksvík,62.2266,-6.589,52.72,98,100,3.74,FO,1629959052
Bay Saint Louis,30.3088,-89.33,78.87,97,57,9.82,US,1629959052
Durango,24.8333,-104.8333,63.23,68,62,8.08,MX,1629958822
Denia,38.8408,0.1057,76.84,83,11,3.0,ES,1629959052
Kaeo,-35.1,173.7833,58.32,76,91,10.04,NZ,1629959053
Najrān,17.4924,44.1277,88.45,26,3,11.54,SA,1629959053
Yulara,-25.2406,130.9889,71.44,14,0,9.22,AU,1629959053
Båtsfjord,70.6345,29.7185,51.73,76,20,12.66,NO,1629959054
College,64.8569,-147.8028,55.58,93,75,3.44,US,1629959054
Kwinana,-32.25,115.7667,66.31,69,89,26.13,AU,1629959054
Meget,52.415,104.0494,65.16,44,95,6.46,RU,1629959051
Harper,4.375,-7.7169,75.54,90,100,7.07,LR,1629959055
Ilulissat,69.2167,-51.1,39.33,94,100,1.68,GL,1629959055
Yar-Sale,66.8333,70.8333,44.38,93,100,22.75,RU,1629959055
Calama,-22.4667,-68.9333,32.49,25,1,19.57,CL,1629958854
Skogn,63.7,11.2,43.99,81,11,4.21,NO,1629959056
Yanam,16.7333,82.2167,90.0,53,100,5.95,IN,1629959056
Brae,60.3964,-1.353,51.71,82,64,14.0,GB,1629959057
Itoman,26.1247,127.6694,89.62,66,20,8.05,JP,1629959057
Vryburg,-26.9566,24.7284,61.63,72,100,20.58,ZA,1629959057
Vallenar,-28.5708,-70.7581,53.38,62,0,6.38,CL,1629959058
Port Hardy,50.6996,-127.4199,55.58,100,90,0.0,CA,1629959058
Kharan,28.5833,65.4167,89.37,12,4,6.13,PK,1629959058
Te Anau,-45.4167,167.7167,47.19,96,100,0.29,NZ,1629959059
Walvis Bay,-22.9575,14.5053,52.09,81,0,6.91,NA,1629959059
Valparaíso,-33.0393,-71.6273,44.24,87,0,4.61,CL,1629959059
Ust'-Ordynskiy,52.805,104.7508,64.24,37,100,6.22,RU,1629959060
Turbat,26.0023,63.044,94.95,31,71,9.48,PK,1629959060
Krasnyy Chikoy,50.3643,108.7512,55.08,86,100,4.94,RU,1629959061
Russell,32.3502,-85.1999,73.96,91,90,0.0,US,1629958798
Hasaki,35.7333,140.8333,93.49,73,100,5.82,JP,1629959061
Gijang,35.2442,129.2139,89.33,62,45,10.54,KR,1629959061
Staryy Nadym,65.6118,72.6842,68.95,73,100,14.12,RU,1629959062
Mitsamiouli,-11.3847,43.2844,80.89,65,20,8.05,KM,1629959062
Kuril'sk,45.2333,147.8833,60.78,93,100,23.53,RU,1629959062
Adrar,20.5022,-10.0711,88.12,21,43,11.61,MR,1629959063
Kislyakovskaya,46.4417,39.675,76.55,32,1,14.29,RU,1629959063
Khandyga,62.6667,135.6,63.66,63,100,4.9,RU,1629959063
Labuhan,-6.8844,112.2051,87.94,50,45,9.55,ID,1629959064
Sharjah city,25.3573,55.4033,100.56,42,0,8.05,AE,1629958790
Sol'-Iletsk,51.1631,54.9918,88.27,21,2,10.02,RU,1629959064
Roald,62.5833,6.1333,57.16,76,40,10.36,NO,1629959064
Tiksi,71.6872,128.8694,52.65,90,100,5.5,RU,1629959065
Lexington-Fayette,38.0498,-84.4585,73.09,89,1,0.0,US,1629959065
Zhalantun,48.0,122.7167,66.33,77,100,1.34,CN,1629959065
Perry,37.2506,-83.1999,74.12,95,98,1.14,US,1629959066
Falanna,39.7167,22.4,76.37,73,0,0.0,GR,1629959066
Maceió,-9.6658,-35.7353,71.04,94,75,4.61,BR,1629959066
Wau,7.7029,27.9953,74.43,87,41,3.98,SS,1629959067
Lahaina,20.8783,-156.6825,77.0,70,19,12.84,US,1629959067
Porvoo,60.3923,25.6651,56.23,97,100,1.01,FI,1629959067
